Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code,FSA
144018,2018-03-17T20:29:00.000Z,2018-03-17T20:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),133653,43.747963,-79.311821,M1R 2V2,M1R
144019,2018-03-17T20:29:00.000Z,2018-03-17T20:29:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),133654,43.747963,-79.311821,M1R 2V2,M1R
156700,2018-08-11T15:55:00.000Z,2018-08-11T16:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D41,119,Wexford/Maryvale (119),144099,43.7348785,-79.301239,M1R 5H4,M1R
19803,2018-06-28T22:30:00.000Z,2018-06-28T22:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),18830,43.7781525,-79.2814713,M1S 0G5,M1S
19804,2018-06-28T22:30:00.000Z,2018-06-28T22:32:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),18831,43.7781525,-79.2814713,M1S 0G5,M1S
30945,2018-03-07T22:53:00.000Z,2018-03-07T22:53:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,128,Agincourt South-Malvern West (128),28519,43.7794762,-79.2820663,M1S 0G5,M1S
19705,2018-04-27T13:00:00.000Z,2018-05-04T14:41:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,128,Agincourt South-Malvern West (128),18357,43.7872162,-79.2792892,M1S 1R5,M1S
153114,2018-12-04T14:20:00.000Z,2018-12-04T14:23:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,117,L'Amoreaux (117),141396,43.7777443,-79.324173,M1T 1A5,M1T
86706,2018-06-23T20:26:00.000Z,2018-06-23T20:26:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,118,Tam O'Shanter-Sullivan (118),80827,43.7827148,-79.2989807,M1T 3N1,M1T
16475,2018-03-10T17:00:00.000Z,2018-03-13T16:26:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,130,Milliken (130),15225,43.8269005,-79.2759094,M1V 4E4,M1V
17924,2018-03-10T17:00:00.000Z,2018-03-10T18:57:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,130,Milliken (130),16734,43.8269005,-79.2759094,M1V 4E4,M1V
31948,2018-03-06T16:49:00.000Z,2018-03-06T16:49:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,130,Milliken (130),29114,43.8269005,-79.2759094,M1V 4E4,M1V
19771,2018-08-28T11:00:00.000Z,2018-08-28T12:34:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,130,Milliken (130),18786,43.8269234,-79.2884674,M1V 5L9,M1V
19219,2018-09-17T09:00:00.000Z,2018-09-26T14:43:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,117,L'Amoreaux (117),17534,43.7974548,-79.3309326,M1W 2J1,M1W
153285,2018-11-17T12:30:00.000Z,2018-11-17T17:05:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,117,L'Amoreaux (117),141559,43.8000259,-79.3332596,M1W 2K7,M1W
96323,2018-06-12T21:09:00.000Z,2018-06-12T21:09:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D42,116,Steeles (116),88299,43.8058014,-79.3266449,M1W 2X4,M1W
20161,2018-08-30T11:00:00.000Z,2018-08-30T15:12:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,116,Steeles (116),18213,43.8107796,-79.3257675,M1W 2Z8,M1W
18918,2018-04-21T08:12:00.000Z,2018-04-22T08:12:00.000Z,Apartment,2120,200,B&E,Break and Enter,D42,116,Steeles (116),17248,43.8150749,-79.3273087,M1W 3X6,M1W
20495,2018-11-03T04:48:00.000Z,2018-11-03T08:20:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,46,Pleasant View (46),18578,43.7944832,-79.3351212,M2H 2K8,M2H
18110,2018-08-26T20:23:00.000Z,2018-08-26T20:23:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,48,Hillcrest Village (48),16409,43.7994461,-79.3482895,M2H 2L5,M2H
98738,2018-08-27T10:44:00.000Z,2018-08-27T10:44:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,49,Bayview Woods-Steeles (49),91262,43.7912979,-79.3691254,M2H 3B7,M2H
33339,2018-12-16T20:56:00.000Z,2018-12-16T20:56:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,53,Henry Farm (53),30104,43.7695351,-79.3472977,M2J 1B8,M2J
18843,2018-04-06T23:44:00.000Z,2018-04-07T05:25:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,53,Henry Farm (53),17416,43.7694359,-79.3431625,M2J 1K8,M2J
18568,2018-07-27T15:30:00.000Z,2018-07-27T20:47:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,53,Henry Farm (53),17283,43.773571,-79.3445892,M2J 1M5,M2J
86199,2018-08-25T21:50:00.000Z,2018-08-25T21:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,53,Henry Farm (53),79977,43.7731895,-79.3412094,M2J 1P2,M2J
94342,2018-05-18T00:04:00.000Z,2018-05-18T00:04:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,53,Henry Farm (53),87780,43.7744026,-79.3371124,M2J 1S3,M2J
83690,2018-02-06T12:15:00.000Z,2018-02-06T12:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,47,Don Valley Village (47),77997,43.7816887,-79.355278,M2J 2H4,M2J
83691,2018-02-06T12:15:00.000Z,2018-02-06T12:15:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,47,Don Valley Village (47),77998,43.7816887,-79.355278,M2J 2H4,M2J
17995,2018-05-16T09:30:00.000Z,2018-05-16T13:21:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,47,Don Valley Village (47),16686,43.7862816,-79.3531418,M2J 2T7,M2J
102069,2018-04-09T20:04:00.000Z,2018-08-11T20:04:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,47,Don Valley Village (47),94690,43.7802696,-79.3487167,M2J 3B6,M2J
150783,2018-08-09T23:00:00.000Z,2018-08-10T01:57:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,46,Pleasant View (46),139371,43.7795868,-79.3291092,M2J 3L9,M2J
31656,2018-02-22T06:30:00.000Z,2018-02-22T06:40:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,46,Pleasant View (46),28198,43.7877312,-79.3406601,M2J 3X1,M2J
152934,2018-09-19T14:00:00.000Z,2018-10-31T13:35:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,53,Henry Farm (53),141220,43.7741318,-79.3286972,M2J 4Y1,M2J
32037,2018-03-01T12:00:00.000Z,2018-08-14T16:45:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,52,Bayview Village (52),29190,43.7657547,-79.3842926,M2K,M2K
17196,2018-04-18T13:35:00.000Z,2018-04-18T13:35:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,52,Bayview Village (52),15123,43.7694817,-79.3709183,M2K 0B3,M2K
88541,2018-10-28T14:30:00.000Z,2018-11-07T15:02:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,49,Bayview Woods-Steeles (49),81976,43.7908936,-79.3896561,M2K 2K3,M2K
154969,2018-01-02T02:28:00.000Z,2018-01-02T02:28:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D33,52,Bayview Village (52),143276,43.7649956,-79.3802109,M2K 2X4,M2K
17488,2018-03-28T23:00:00.000Z,2018-04-12T09:18:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,52,Bayview Village (52),16081,43.7683449,-79.3704834,M2K 2X9,M2K
154490,2018-06-11T08:30:00.000Z,2018-06-11T20:44:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,40,St.Andrew-Windfields (40),142568,43.759922,-79.3892441,M2L 2G9,M2L
20297,2018-09-28T10:00:00.000Z,2018-09-28T19:23:00.000Z,Apartment,2120,200,B&E,Break and Enter,D33,40,St.Andrew-Windfields (40),18010,43.7605247,-79.3641663,M2L 2R2,M2L
18086,2018-02-19T13:00:00.000Z,2018-02-19T17:05:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,50,Newtonbrook East (50),16998,43.7797699,-79.4155731,M2M,M2M
32387,2018-11-18T18:00:00.000Z,2018-11-21T23:00:00.000Z,Apartment,1420,100,Assault With Weapon,Assault,D32,50,Newtonbrook East (50),29520,43.7870712,-79.4173508,M2M 1C8,M2M
19951,2018-04-30T00:01:00.000Z,2018-05-02T09:35:00.000Z,Apartment,2120,200,B&E,Break and Enter,D32,50,Newtonbrook East (50),18239,43.7870712,-79.4173508,M2M 1C8,M2M
