,Index_,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,MCI,Division,Hood_ID,Neighbourhood,ObjectId,Lat,Long,Postal Code
16683,177263,2018-06-09T16:00:00.000Z,2018-06-09T19:17:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,127,Bendale (127),164113,43.7736168,-79.2611313,
16684,177264,2018-06-03T14:00:00.000Z,2018-06-11T09:45:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,98,Rosedale-Moore Park (98),164114,43.6911469,-79.389061,
16685,177265,2018-06-03T14:00:00.000Z,2018-06-11T09:45:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D53,98,Rosedale-Moore Park (98),164115,43.6911469,-79.389061,
16686,177471,2018-12-21T22:30:00.000Z,2018-12-22T07:59:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D33,119,Wexford/Maryvale (119),164116,43.7288933,-79.3043823,
16687,177472,2018-12-26T14:00:00.000Z,2018-12-26T14:08:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D14,93,Dovercourt-Wallace Emerson-Junction (93),164118,43.6671829,-79.4317169,
16688,177475,2018-12-21T15:00:00.000Z,2018-12-21T22:16:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164124,43.7106895,-79.6113205,
16689,177266,2018-04-29T19:00:00.000Z,2018-05-03T13:16:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,137,Woburn (137),164131,43.7681885,-79.2300797,
16690,177951,2018-07-23T20:00:00.000Z,2018-07-23T21:41:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,137,Woburn (137),164181,43.7616272,-79.2236633,
16691,177953,2018-07-25T10:00:00.000Z,2018-07-26T18:25:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D13,94,Wychwood (94),164183,43.6747322,-79.4283295,
16692,177956,2018-07-26T04:00:00.000Z,2018-07-26T07:31:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D51,75,Church-Yonge Corridor (75),164186,43.6551514,-79.3749695,
16693,177957,2018-07-28T13:30:00.000Z,2018-07-28T17:45:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D54,59,Danforth East York (59),164187,43.6908493,-79.3415604,
16694,177958,2018-07-27T00:49:00.000Z,2018-07-27T08:59:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D42,128,Agincourt South-Malvern West (128),164188,43.7832909,-79.2882614,
16695,177961,2018-07-29T16:00:00.000Z,2018-07-29T18:18:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D23,1,West Humber-Clairville (1),164191,43.7181282,-79.5990524,
16696,177962,2018-07-29T19:30:00.000Z,2018-07-30T06:32:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D43,135,Morningside (135),164192,43.784832,-79.1954346,
16697,177965,2018-07-28T23:05:00.000Z,2018-07-29T12:13:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D31,27,York University Heights (27),164195,43.7622452,-79.5005188,
16698,177967,2018-07-30T07:00:00.000Z,2018-07-30T12:31:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D12,29,Maple Leaf (29),164197,43.7205162,-79.4807281,
16699,177971,2018-07-31T05:17:00.000Z,2018-07-31T05:17:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,D55,64,Woodbine Corridor (64),164201,43.6729088,-79.3193054,
